ID;Numero;Carta;Naipe;Elemento;Planeta;Signo_Astrologico;Cabala_Kabbalah;Data Importante;Pedra;Sim_Ou_Não;Significado_Normal
36;14;Rei de Copas;Copas;Água;Nenhum;Escorpião;Chokmah – Sabedoria;início do inverno;Não especificado;Incerto;calmaria, amigável, sábio, equilíbrio, romântico, conselheiro
37;1;Ás de Paus;Paus;Fogo;Mercúrio e Marte;Áries, Sagitário, Leão;Kether de Atziluth;Verão;Diamante;Sim;Inspiração, criatividade, novas oportunidades, crescimento, potencial, novos começos​
38;2;2 de Paus;Paus;Fogo;Sol;Virgem e Leão;Kether de Atziluth;21 de março – 30 de março;Rubi, Turquesa;Sim;planejamento, primeiros passos, tomada de decisões, deixando conforto, assumindo riscos
39;3;3 de Paus;Paus;Fogo;Sol;Áries;31 de março a 10 de abril;Binah;Não especificado;Sim;expansão, crescimento, amadurecimento, confiança, progresso, oportunidades no exterior.
40;4;4 de Paus;Paus;Fogo;Vênus;Áries;11 de abril a 20 de abril;Chesed;Não especificado;Sim;alegria, celebração, conquistas, estabilidade, encontros, harmonia, regresso ao lar.
41;5;5 de Paus;Paus;Fogo;Saturno;Leão;22 de julho a 01 de agosto;Geburah;Não especificado;Não;conflitos, competição, diversidade de opiniões, agressão, rivalidade, desentendimento.
42;6;6 de Paus;Paus;Fogo;Júpter;Leão;02 de agosto a 11 de agosto;Tiphareth – Beleza;Não especificado;Sim;sucesso, recompensas, vitória, reconhecimento público.
43;7;7 de Paus;Paus;Fogo;Marte;Leão;12 de agosto a 22 de agosto;Netzach;Não especificado;Sim;proteção, desafios, defesa, competição.
44;8;8 de Paus;Paus;Fogo;Mercúrio;Sagitário;23 de novembro a 02 de dezembro;Hod;Não especificado;Sim;velocidade, movimento, ação, excitação, mudanças, progresso.
45;9;9 de Paus;Paus;Fogo;Lua;Sagitário;03 de dezembro a 12 de dezembro;Yesod;Não especificado;Talvez;coragem, resiliência, persistência, perseverança, cansaço, limites, crença, determinação.
46;10;10 de Paus;Paus;Fogo;Saturno;Sagitário;13 de dezembro a 21 de dezembro;Malkuth;Não especificado;Não;fardo, trabalho árduo, responsabilidade, cansaço.
47;11;Cavaleiro de Paus;Paus;Fogo;Júpiter;Sagitário;13 de novembro a 12 de dezembro;Chokmah;Não especificado;Sim;coragem, energia, paixão, aventura, liberdade.
48;12;Valete de Paus;Paus;Fogo;Júpiter;Sagitário;Primavera;Malkuth e Tiphareth;Não especificado;Sim;inspiração, aventuras, ideias, criatividade, alegria, potencial ilimitado.
49;13;Rainha de Paus;Paus;Fogo;Marte;Áries;11 de março a 10 de abril;Binah;Não especificado;Sim;coragem, paixão, confiança, determinação, carisma, independência, seguro de si, sociabilidade.
50;14;Rei de Paus;Paus;Fogo;Marte;Leão;12 de julho a 11 de agosto;Chokmah;Não especificado;Sim;liderança, empreendedorismo, ousadia, controle, visão, honra, otimismo.
51;1;Ás de Espada;Espada;Ar;Mercúrio e Saturno;Gêmeos, Libra e Aquário;Vau= Ar = Yetzirah = Astral;Outono;Não especificado;Sim;Novas ideias, clareza mental, sucesso, decisões acertadas
52;2;2 de Espada;Espada;Ar;Lua;Libra;Chokmah – Sabedoria;23 de setembro a 2 de outubro;Não especificado;Talvez;Decisões difíceis, opções de ponderação, impasse, evasão, negação
53;3;3 de Espada;Espada;Ar;Saturno;Libra;Yetzirah;1ª quinzena de outubro;Não especificado;Não;Tristeza, conflito, sofrimento, separação, mágoa, falsidade
54;4;4 de Espada;Espada;Ar;Júpiter;Libra;Chesed – Misericórdia;13 a 22 de outubro;Não especificado;Não;Repouso, paz, serenidade, regeneração, natureza plácida, rejuvenescimento, meditação
55;5;5 de Espada;Espada;Ar;Vênus;Aquário;Geburah – Força;20 a 29 de janeiro;Não especificado;Não;Alegação, controvérsia, agressão, hostilidade, conflitos, derrota​
56;6;6 de Espada;Espada;Ar;Mercúrio;Aquário;Tiphareth – Beleza;30 de janeiro a 8 de fevereiro;Não especificado;Sim;Movimento, rito de passagem, superação do passado​
57;7;7 de Espada;Espada;Ar;Lua;Aquário;Netzach – Vitória;9 a 18 de fevereiro;Não especificado;Não;Desconfiança, deslealdade​
58;8;8 de Espada;Espada;Ar;Júpiter;Gêmeos;Hod – Esplendor;21 a 31 de maio;Não especificado;Não;Impotência, prisão, vitimização
59;9;9 de Espada;Espada;Ar;Marte;Gêmeos;Yesod – Alicerce;1 a 10 de junho;Não especificado;Não;Inquietude, angústia【60†fonte】.
60;10;10 de Espada;Espada;Ar;Sol;Gêmeos;Malkuth – Reinado;11 a 20 de junho;Não especificado;Não;Finalização, ruína, desespero
61;11;Cavaleiro de Espada;Espada; Ar;Sol;Libra;Chokmah – Sabedoria;11 de maio a 10 de junho;Não especificado;Sim;intelecto, ação, ambição
62;12;Valete de Espada;Espada;Ar;Terra;Libra;Malkuth – O Reinado;Outono;Não especificado;Sim;Comunicação, curiosidade
63;13;Rainha de Espada;Espada;Ar;Saturno;Gêmeos;Binah – Compreensão;12 de setembro a 12 de outubro;Não especificado;Não;comunicação, esperteza, vivacidade, julgamento imparcial​​.
64;14;Rei de Espadas;Espada;Ar;Vênus;Libra;Chokmah – Sabedoria;10 de janeiro a 8 de fevereiro;Não especificado;Talvez;razão, intelecto, verdade
65;1;Ás de Ouros;Ouros;Terra;Vênus e Mercúrio;Touro, Virgem, Capricórnio, Libra;Kether de Assiah;Inverno;Não especificado;Sim;oportunidades, prosperidade
66;2;2 de Ouros;Ouros;Terra;Lua;Capricórnio;Chokmah – Sabedoria;22 de dezembro a 30 de dezembro;Não especificado;Talvez;multitarefa, desenvoltura, opções de pesagem
67;3;3 de Ouros;Ouros;Terra;Marte;Capricórnio;Binah – Compreensão;Janeiro a Fevereiro;Não especificado;Sim;trabalho em equipe, metas compartilhadas
68;4;4 de Ouros;Ouros;Terra;Sol;Capricórnio;Chered – Misericórdia;Inverno;Não especificado;Sim;estabilidade, segurança, mas também avareza e medo de mudanças
69;5;5 de Ouros;Ouros;Terra;Mercúrio;Touro;Geburah – Força;Primavera;Não especificado;Não;desafios financeiros e emocionais, mas com potencial para superação
70;6;6 de Ouros;Ouros;Terra;Lua;Touro;Tipharet – Beleza;Apogeu da primavera;Não especificado;Sim;generosidade, equilíbrio em dar e receber
71;7;7 de Ouros;Ouros;Terra;Saturno;Touro;Netzach – Vitória;Primavera;Não especificado;Talvez;foco em resultados de esforços, reflexão sobre próximos passos
72;8;8 de Ouros;Ouros;Terra;Sol;Virgem;Hod – Esplendor;Fim do verão;Não especificado;Sim;esforço e dedicação para alcançar o sucesso, com foco no crescimento profissional e financeiro
73;9;9 de Ouros;Ouros;Terra;Vênus;Virgem;Yesod – Alicerce;Fim do verão e preparo para o outono;Não especificado;Sim;sucesso e estabilidade financeira, recompensa pelo trabalho duro
74;10;10 de Ouros;Ouros;Terra;Mercúrio;Virgem;Malkuth – Reinado;Fim do verão;Não especificado;Sim;estabilidade, prosperidade, herança, e satisfação em todas as áreas da vida
75;11;Cavaleiro de Ouros;Ouros;Terra;Vênus e Mercúrio;Virgem e Leão;Tipharet - Beleza;Início do inverno;Não especificado;Sim;dedicação, eficiência, paciência
76;12;Valete de Ouros;Ouros;Não especificado;Não especificado;Não especificado;Não especificado;Não especificado;Não especificado;Não especificado;A carta Valete de Ouros aponta um novo estado de autoconsciência e alinhamento de objetivos;Ouros;Terra;Terra;Virgem;Malkuth – O Reinado;Outono;Não especificado;Sim;Novos começos, novas oportunidades, Iniciativa, entusiasmo, ambição, 
77;13;Rainha de Ouros;Ouros;Terra;Vênus;Touro, Virgem, Capricórnio;Binah – Compreensão;meio do inverno;Não especificado;Sim;generosidade, prosperidade, riqueza, sensibilidade, fertilidade, gentileza, curandeira, boa mãe, caseira, conselheira, pratica.
78;14;Rei de Ouros;Ouros;Terra;Mercurio;Capricórnio;Chokmah – Sabedoria;meio da primavera;Não especificado;Sim;sucesso, aperfeiçoamento, segurança, alto status, estabilidade, lealdade, conservador, gentil, empresario, confiável
